paper_id,pmid,source_collection,parse_source_type,pdf_path,xml_path,normalized_json_path,parse_status,section_count,body_word_count,parser_warnings
pmid-29321315,29321315,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-29321315.pdf,papers/fulltext/parsed/pmc_xml/PMC5827389.xml,papers/fulltext/parsed/normalized/29321315.json,cached_normalized,0,0,PMC XML body missing.
pmid-29268608,29268608,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-29268608.pdf,papers/fulltext/parsed/pmc_xml/PMC6145453.xml,papers/fulltext/parsed/normalized/29268608.json,cached_normalized,25,5982,
pmid-30550790,30550790,hpmi,pmc_xml,papers/fulltext/inventory/oa/pmid-30550790.pdf,papers/fulltext/parsed/pmc_xml/PMC6474419.xml,papers/fulltext/parsed/normalized/30550790.json,cached_normalized,44,10594,
pmid-30550789,30550789,hpmi,pmc_xml,papers/fulltext/inventory/oa/pmid-30550789.pdf,papers/fulltext/parsed/pmc_xml/PMC6366944.xml,papers/fulltext/parsed/normalized/30550789.json,cached_normalized,28,8659,
pmid-30174294,30174294,hpmi,pmc_xml,papers/fulltext/inventory/oa/pmid-30174294.pdf,papers/fulltext/parsed/pmc_xml/PMC6389330.xml,papers/fulltext/parsed/normalized/30174294.json,cached_normalized,29,7508,
pmid-30477498,30477498,current-program,pmc_xml,papers/fulltext/inventory/oa/pmid-30477498.pdf,papers/fulltext/parsed/pmc_xml/PMC6257973.xml,papers/fulltext/parsed/normalized/30477498.json,cached_normalized,11,2994,
pmid-30096313,30096313,current-program,pmc_xml,papers/fulltext/inventory/oa/pmid-30096313.pdf,papers/fulltext/parsed/pmc_xml/PMC6102396.xml,papers/fulltext/parsed/normalized/30096313.json,cached_normalized,35,8722,
pmid-29866884,29866884,current-program,pmc_xml,papers/fulltext/inventory/oa/pmid-29866884.pdf,papers/fulltext/parsed/pmc_xml/PMC6066312.xml,papers/fulltext/parsed/normalized/29866884.json,cached_normalized,0,0,PMC XML body missing.
pmid-29786110,29786110,current-program,pmc_xml,papers/fulltext/inventory/oa/pmid-29786110.pdf,papers/fulltext/parsed/pmc_xml/PMC6034925.xml,papers/fulltext/parsed/normalized/29786110.json,cached_normalized,12,4204,
pmid-28986782,28986782,pi-backlog,pdf_grobid,papers/fulltext/inventory/manual/pmid-28986782.pdf,,papers/fulltext/parsed/normalized/28986782.json,cached_normalized,47,10498,Using canonical paper title over GROBID TEI title.; Using canonical paper abstract over GROBID TEI abstract.
pmid-28972995,28972995,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-28972995.pdf,papers/fulltext/parsed/pmc_xml/PMC5626475.xml,papers/fulltext/parsed/normalized/28972995.json,cached_normalized,17,6987,
pmid-28869005,28869005,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-28869005.pdf,papers/fulltext/parsed/pmc_xml/PMC5656757.xml,papers/fulltext/parsed/normalized/28869005.json,cached_normalized,6,2396,
pmid-28661652,28661652,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-28661652.pdf,papers/fulltext/parsed/pmc_xml/PMC6917504.xml,papers/fulltext/parsed/normalized/28661652.json,cached_normalized,14,4318,
pmid-28607166,28607166,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-28607166.pdf,papers/fulltext/parsed/pmc_xml/PMC5518416.xml,papers/fulltext/parsed/normalized/28607166.json,cached_normalized,0,0,PMC XML body missing.
pmid-28584171,28584171,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-28584171.pdf,papers/fulltext/parsed/pmc_xml/PMC5468688.xml,papers/fulltext/parsed/normalized/28584171.json,cached_normalized,9,8774,
pmid-28562037,28562037,pi-backlog,pdf_grobid,papers/fulltext/inventory/manual/pmid-28562037.pdf,,papers/fulltext/parsed/normalized/28562037.json,cached_normalized,8,5401,Using canonical paper title over GROBID TEI title.; Using canonical paper abstract over GROBID TEI abstract.
pmid-28494238,28494238,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-28494238.pdf,papers/fulltext/parsed/pmc_xml/PMC5490666.xml,papers/fulltext/parsed/normalized/28494238.json,cached_normalized,19,7095,
pmid-28377530,28377530,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-28377530.pdf,papers/fulltext/parsed/pmc_xml/PMC5380843.xml,papers/fulltext/parsed/normalized/28377530.json,cached_normalized,14,6123,
pmid-28362044,28362044,pi-backlog,pdf_grobid,papers/fulltext/inventory/manual/pmid-28362044.pdf,,papers/fulltext/parsed/normalized/28362044.json,cached_normalized,9,3196,Using canonical paper title over GROBID TEI title.; Using canonical paper abstract over GROBID TEI abstract.
pmid-28248290,28248290,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-28248290.pdf,papers/fulltext/parsed/pmc_xml/PMC5338947.xml,papers/fulltext/parsed/normalized/28248290.json,cached_normalized,23,6617,
pmid-28230985,28230985,pi-backlog,pdf_grobid,papers/fulltext/inventory/manual/pmid-28230985.pdf,,papers/fulltext/parsed/normalized/28230985.json,cached_normalized,7,5958,Using canonical paper title over GROBID TEI title.; Using canonical paper abstract over GROBID TEI abstract.
pmid-28220929,28220929,pi-backlog,pdf_grobid,papers/fulltext/inventory/manual/pmid-28220929.pdf,,papers/fulltext/parsed/normalized/28220929.json,cached_normalized,3,3372,Using canonical paper title over GROBID TEI title.; Using canonical paper abstract over GROBID TEI abstract.
pmid-27965017,27965017,pi-backlog,pdf_grobid,papers/fulltext/inventory/manual/pmid-27965017.pdf,,papers/fulltext/parsed/normalized/27965017.json,cached_normalized,13,4208,Using canonical paper title over GROBID TEI title.; Using canonical paper abstract over GROBID TEI abstract.
pmid-27807226,27807226,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-27807226.pdf,papers/fulltext/parsed/pmc_xml/PMC5215348.xml,papers/fulltext/parsed/normalized/27807226.json,cached_normalized,0,0,PMC XML body missing.
pmid-27978436,27978436,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-27978436.pdf,papers/fulltext/parsed/pmc_xml/PMC5354304.xml,papers/fulltext/parsed/normalized/27978436.json,cached_normalized,16,5211,
pmid-27801516,27801516,pi-backlog,pdf_grobid,papers/fulltext/inventory/manual/pmid-27801516.pdf,,papers/fulltext/parsed/normalized/27801516.json,cached_normalized,9,4320,Using canonical paper title over GROBID TEI title.; Using canonical paper abstract over GROBID TEI abstract.
pmid-27783955,27783955,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-27783955.pdf,papers/fulltext/parsed/pmc_xml/PMC5123761.xml,papers/fulltext/parsed/normalized/27783955.json,cached_normalized,9,6695,
pmid-27575636,27575636,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-27575636.pdf,papers/fulltext/parsed/pmc_xml/PMC5004807.xml,papers/fulltext/parsed/normalized/27575636.json,cached_normalized,25,7968,
pmid-27572970,27572970,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-27572970.pdf,papers/fulltext/parsed/pmc_xml/PMC4917225.xml,papers/fulltext/parsed/normalized/27572970.json,cached_normalized,18,4999,
pmid-27336362,27336362,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-27336362.pdf,papers/fulltext/parsed/pmc_xml/PMC4931005.xml,papers/fulltext/parsed/normalized/27336362.json,cached_normalized,25,4812,
pmid-27322406,27322406,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-27322406.pdf,papers/fulltext/parsed/pmc_xml/PMC5031415.xml,papers/fulltext/parsed/normalized/27322406.json,cached_normalized,56,11116,
