paper_id,title,pmid,doi,year,journal,source_collections,in_current_program,in_hpmi,in_pi_backlog,center,pi_candidates,paper_status
pmid-42093108,Widespread SARS-CoV-2 Transmission Despite Limited Reported Cases and Clinical Disease: Exploring the Role of Pre-Existing Humoral Immunity to SARS-CoV-2 in Eastern Sierra Leone.,42093108,10.1002/iid3.70463,2026,"Immunity, inflammation and disease",pi-backlog,no,no,yes,CViSB,Donald S Grant,metadata_ingested
pmid-42084370,A cocktail of SARS-CoV-2 S stem helix domain and receptor binding domain human monoclonal antibodies prevents the emergence of viral escape mutants.,42084370,10.1128/spectrum.00006-26,2026,Microbiology spectrum,pi-backlog,no,no,yes,SYBIL,Adolfo Garcia-Sastre,metadata_ingested
pmid-42078883,"AcTor, a novel mTOR stimulator, potentiates ixazomib for the treatment of acute myeloid leukemia.",42078883,10.21203/rs.3.rs-9405584/v1,2026,Research square,pi-backlog,no,no,yes,HPMI,Melanie Ott,metadata_ingested
pmid-42076139,Industrial Perspective on the Manufacturing of Lipid Nanoparticles for Nucleic Acid Delivery.,42076139,10.3390/pharmaceutics18040489,2026,Pharmaceutics,pi-backlog,no,no,yes,HPMI,Melanie Ott,metadata_ingested
pmid-42069582,Bridging systems and selves: a qualitative exploration of peer navigation as a developmentally tailored engagement strategy for adolescent HIV services.,42069582,10.1186/s12913-026-14659-z,2026,BMC health services research,pi-backlog,no,no,yes,HPMI,Melanie Ott,metadata_ingested
pmid-42067193,Repurposing drug screen for the identification of helicase inhibitors from viruses of pandemic concern.,42067193,10.1016/j.slasd.2026.100311,2026,SLAS discovery : advancing life sciences R & D,pi-backlog,no,no,yes,HPMI,Melanie Ott,metadata_ingested
pmid-42063971,A unifying theory of brain signaling and its possible role in acquired chronic disease.,42063971,10.3389/fnins.2026.1683413,2026,Frontiers in neuroscience,pi-backlog,no,no,yes,SYBIL,Sumit Chanda,metadata_ingested
pmid-42057176,Non-canonical STING activation by calcium influx paired to endoplasmic reticulum stress.,42057176,10.1186/s12964-026-02819-x,2026,Cell communication and signaling : CCS,pi-backlog,no,no,yes,SYBIL,Adolfo Garcia-Sastre,metadata_ingested
pmid-42056084,NAE1/UBA3-UBE2M are E1 and E2 enzymes for the URM1 modification.,42056084,10.1038/s41467-026-72296-w,2026,Nature communications,pi-backlog,no,no,yes,SYBIL,Sumit Chanda,metadata_ingested
pmid-42043310,'The Open Door' and emergency mental health crisis care in Ireland: meeting people where they are.,42043310,,2026,Irish medical journal,pi-backlog,no,no,yes,CViSB,Ryan McNamara,metadata_ingested
pmid-42041295,Virulence Phenotypes Differentiate Persistent vs. Resolving Isolates of Human Staphylococcus aureus Bacteremia.,42041295,10.3390/antibiotics15040332,2026,"Antibiotics (Basel, Switzerland)",pi-backlog,no,no,yes,UCLA-Persistent-BSI,Michael Yeaman,metadata_ingested
pmid-42029389,Rapid fabrication of solvent-compatible NOA 81 microfluidic devices for double-emulsion microfluidics.,42029389,10.1039/d6lc00045b,2026,Lab on a chip,pi-backlog,no,no,yes,CViSB,Robert Garry,metadata_ingested
pmid-42023177,"Efficacy of Metronomic Oral Capecitabine, Methotrexate and Cyclophosphamide in Locally Advanced Operable Oral Cavity Squamous Cell Carcinoma - A Phase II Study.",42023177,10.1007/s13193-026-02596-6,2026,Indian journal of surgical oncology,pi-backlog,no,no,yes,SYBIL,Sumit Chanda,metadata_ingested
pmid-42014734,Mitochondrial respirasome-like supercomplexes support metabolic flexibility in yeast.,42014734,10.1038/s41467-026-72228-8,2026,Nature communications,pi-backlog,no,no,yes,HPMI,Melanie Ott,metadata_ingested
pmid-42013838,Systematic discovery of pro- and anti-HIV host factors in primary human CD4+ T cells.,42013838,10.1016/j.cell.2026.03.046,2026,Cell,pi-backlog,no,no,yes,HPMI,Andrej Sali,metadata_ingested
pmid-42012179,Re-engineering segment 8 facilitates generation of a versatile live-attenuated influenza A virus vector platform for secretory protein delivery.,42012179,10.1128/jvi.00347-26,2026,Journal of virology,pi-backlog,no,no,yes,SYBIL,Adolfo Garcia-Sastre,metadata_ingested
pmid-42009167,Treatment of liver failure utilizing multi-cell lineage liver microtissue.,42009167,10.1016/j.jhepr.2026.101864,2026,JHEP reports : innovation in hepatology,pi-backlog,no,no,yes,HPMI,Melanie Ott,metadata_ingested
pmid-42008572,"Entry, replication and innate immunity evasion of BANAL-236, a SARS-CoV-2-related bat virus, in Rhinolophus and human cells.",42008572,10.1371/journal.ppat.1013573,2026,PLoS pathogens,pi-backlog,no,no,yes,SYBIL,Adolfo Garcia-Sastre,metadata_ingested
pmid-42000914,"Cadmium exposure is associated with overexpression of the metallothionein gene and heightened urinary deoxy-guanosine and protein carbonylation status in an exposed population of West Bengal, India.",42000914,10.1038/s41370-026-00896-1,2026,Journal of exposure science & environmental epidemiology,pi-backlog,no,no,yes,SYBIL,Sumit Chanda,metadata_ingested
pmid-41999581,Human genetic variation associates with infection by derived Ugandan M. tuberculosis lineage.,41999581,10.1093/infdis/jiag218,2026,The Journal of infectious diseases,pi-backlog,no,no,yes,HPMI,Nevan Krogan,metadata_ingested
pmid-41995971,Decisional Conflict in Regarding Deinfibulation in Female Genital Mutilation/Cutting Patients: A Cross-Sectional Study.,41995971,10.1007/s10903-026-01916-w,2026,Journal of immigrant and minority health,pi-backlog,no,no,yes,SYBIL,Sumit Chanda,metadata_ingested
pmid-41994740,Severe Hypercalcemia and Acute Kidney Injury as Initial Manifestations of Multisystem Sarcoidosis in an Adolescent With Type 1 Diabetes: A Case Report.,41994740,10.7759/cureus.105121,2026,Cureus,pi-backlog,no,no,yes,HPMI,Melanie Ott,metadata_ingested
pmid-41990738,A tri-modal contrastive learning framework for protein representation learning.,41990738,10.1016/j.crmeth.2026.101407,2026,Cell reports methods,pi-backlog,no,no,yes,HPMI,Trey Ideker,metadata_ingested
pmid-41990286,HLA Associations Differ by Ethnicity and Aquaporin-4 Antibody Status in Patients With Neuromyelitis Optica Spectrum Disorders.,41990286,10.1212/NXI.0000000000200562,2026,Neurology(R) neuroimmunology & neuroinflammation,pi-backlog,no,no,yes,UCLA-Persistent-BSI,Michael Yeaman,metadata_ingested
pmid-41984637,Sex and gender differences in morbidity and mortality from influenza-like illness during pandemics and throughout the 20th century in Switzerland.,41984637,10.1080/23744235.2026.2644272,2026,"Infectious diseases (London, England)",pi-backlog,no,no,yes,SCRIPT,Alan Hauser,metadata_ingested
pmid-41958274,"The role of adolescent peer navigators in health service delivery: perspectives from Kenyan adolescents and young adults, caregivers and other knowledge users.",41958274,10.1177/17579759261419115,2026,Global health promotion,pi-backlog,no,no,yes,HPMI,Melanie Ott,metadata_ingested
pmid-41951809,Mental disorders and osteoporosis treatment in patients with hip fracture-a Danish population-based cohort study.,41951809,10.1007/s00198-026-07975-x,2026,Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA,pi-backlog,no,no,yes,CViSB,Kristian Andersen,metadata_ingested
pmid-41951218,Addressing the Psychological Needs of Adolescents During the Wait Time for Mental Health Treatment: Service Design Study.,41951218,10.2196/87067,2026,JMIR formative research,pi-backlog,no,no,yes,CViSB,Ryan McNamara,metadata_ingested
pmid-41940347,CGM23 corresponds to a pan-coronavirus lipopeptide inhibitor potently inhibiting virion fusion.,41940347,10.1016/j.isci.2026.115334,2026,iScience,pi-backlog,no,no,yes,HPMI,Melanie Ott,metadata_ingested
pmid-41939306,Drug-Induced Phospholipidosis as an Artifact in Antiviral Drug Repurposing.,41939306,10.1021/acsomega.6c00013,2026,ACS omega,pi-backlog,no,no,yes,HPMI,Melanie Ott,metadata_ingested
pmid-41937955,Low Preoperative Platelet Count Is Associated With Deep Surgical Site Infection in Knee Arthroplasty.,41937955,10.1016/j.artd.2026.101989,2026,Arthroplasty today,pi-backlog,no,no,yes,UCLA-Persistent-BSI,Michael Yeaman,metadata_ingested
pmid-41928473,The scientific legacy of Martin Karplus from the perspective of his collaborators.,41928473,10.1016/j.bpj.2026.03.050,2026,Biophysical journal,pi-backlog,no,no,yes,HPMI,Andrej Sali,metadata_ingested
